Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
0,22.0,cashier,0,0,66.5504258613,False
1,3.0,self,0,0.0,87.2355292922,False
6,7.0,cashier,1,0.0,14.1828292981,False
7,5.0,cashier,2,0.0,16.6318529924,False
5,12.0,cashier,0,0.0,36.300232288,False
3,2.0,self,2,0.0,63.5835907595,False
8,30.0,cashier,3,0.0,57.1412991617,False
11,8.0,cashier,1,0.0,16.2089477693,False
2,4.0,self,1,0.0,128.548625122,True
4,2.0,self,2,41.0166902069,84.3117821641,False
9,24.0,cashier,0,0.0,72.6004645759,False
13,24.0,cashier,1,0.0,48.6268433079,False
14,25.0,cashier,3,0.0,47.6177493014,False
12,17.0,cashier,2,0.0,56.5483001741,False
10,4.0,self,0,0.0,80.6447842768,False
17,1.0,self,0,0.0,25.8733327334,False
16,25.0,cashier,4,0.0,79.410571555,False
19,7.0,cashier,0,0.0,21.1751355013,False
20,26.0,cashier,1,0.0,52.6790802502,False
18,4.0,self,0,0.0,116.211525773,True
21,19.0,cashier,0,0.0,57.4753677893,False
22,30.0,cashier,1,0.0,60.7835541349,False
15,7.0,self,1,0.0,218.496557034,False
24,21.0,cashier,2,0.0,69.853782568,False
27,20.0,cashier,3,0.0,38.0941994411,False
26,22.0,cashier,0,0.0,66.5504258613,False
30,20.0,cashier,0,0.0,60.5003871466,False
23,3.0,self,2,0.0,193.653861924,False
35,17.0,cashier,1,0.0,34.4440140098,False
34,26.0,cashier,0,0.0,78.6505032906,False
38,6.0,cashier,1,0.0,12.156710827,False
37,24.0,cashier,3,0.0,45.7130393294,False
36,26.0,cashier,2,0.0,86.4856355603,False
41,19.0,cashier,0,0.0,57.4753677893,False
28,20.0,self,1,0.0,364.57055171,True
39,3.0,self,2,0.0,132.955487124,True
42,21.0,cashier,0,0.0,63.5254065039,False
43,20.0,cashier,1,0.0,40.5223694233,False
46,5.0,cashier,0,0.0,15.1250967867,False
44,4.0,self,2,22.9153784348,104.098129605,True
48,22.0,cashier,1,0.0,44.5746063656,False
49,26.0,cashier,0,0.0,78.6505032906,False
50,4.0,self,2,0.0,78.3764911483,False
25,18.0,self,0,0.0,709.089061522,False
55,21.0,cashier,0,0.0,63.5254065039,False
51,4.0,self,2,0.0,119.659976912,True
29,3.0,self,0,614.695221775,119.788002483,False
32,7.0,self,1,310.941446131,422.665965049,False
58,5.0,cashier,1,0.0,10.1305923558,False
57,6.0,cashier,0,0.0,18.150116144,False
59,1,self,2,0.0,41.6195343026,False
33,4.0,self,1,730.759465029,60.7828270765,False
31,6.0,self,0,717.204654926,125.942148284,True
60,26.0,cashier,0,0.0,78.6505032906,False
63,23.0,cashier,3,0.0,43.8083293573,False
61,33.0,cashier,1,0.0,66.8619095484,False
62,24.0,cashier,2,0.0,79.8328943634,False
65,30.0,cashier,4,0.0,95.292685866,False
45,2.0,self,0,425.81566773,97.8357558013,True
69,32.0,cashier,0,0.0,96.8006194346,False
40,2.0,self,1,577.680953031,138.003621638,False
72,6.0,cashier,1,0.0,12.156710827,False
68,24.0,cashier,2,50.3122305568,79.8328943634,False
75,7.0,cashier,1,0.0,14.1828292981,False
64,4.0,self,2,0.0,206.321907878,False
76,6.0,cashier,2,0.0,19.9582235908,False
74,21.0,cashier,0,0.0,63.5254065039,False
77,21.0,cashier,1,0.0,42.5484878944,False
47,2.0,self,0,510.427290336,141.641262635,False
56,5.0,self,1,301.536031752,153.405749816,True
70,2.0,self,1,230.895102002,50.0134812013,False
81,10.0,cashier,0,0.0,30.2501935733,False
83,5.0,cashier,0,0.0,15.1250967867,False
84,27.0,cashier,1,0.0,54.7051987214,False
89,5.0,cashier,3,0.0,9.52354986029,False
86,29.0,cashier,0,0.0,87.7255613626,False
88,28.0,cashier,1,0.0,56.7313171926,False
87,26.0,cashier,2,0.0,86.4856355603,False
80,3.0,self,1,54.0564696792,162.634907217,True
91,29.0,cashier,3,0.0,55.2365891897,False
93,5.0,cashier,1,0.0,10.1305923558,False
92,7.0,cashier,0,0.0,21.1751355013,False
95,6.0,cashier,1,0.0,12.156710827,False
66,9.0,self,2,198.416323118,405.60811669,False
98,22.0,cashier,1,0.0,44.5746063656,False
97,32.0,cashier,0,0.0,96.8006194346,False
101,28.0,cashier,1,0.0,56.7313171926,False
103,6.0,cashier,1,0.0,12.156710827,False
67,5.0,self,2,601.682709054,100.30263369,True
100,32.0,cashier,2,0.0,106.443859151,False
